clients,requests,algorithm,http_version,measured_bytes
1,1,P-256,2,232
1,1,P-384,2,536
1,1,P-521,2,662
1,1,X448,2,256
1,1,X25519,2,232
1,1,kyber512,2,296
1,1,kyber768,2,296
1,1,kyber1024,2,296
1,1,p256_kyber512,2,360
1,1,p384_kyber768,2,776
1,1,p521_kyber1024,2,956
1,10,P-256,2,232
1,10,P-384,2,536
1,10,P-521,2,662
1,10,X448,2,256
1,10,X25519,2,232
1,10,kyber512,2,296
1,10,kyber768,2,296
1,10,kyber1024,2,296
1,10,p256_kyber512,2,360
1,10,p384_kyber768,2,776
1,10,p521_kyber1024,2,956
10,10,P-256,2,2320
10,10,P-384,2,5360
10,10,P-521,2,6620
10,10,X448,2,2560
10,10,X25519,2,2320
10,10,kyber512,2,2960
10,10,kyber768,2,2960
10,10,kyber1024,2,2960
10,10,p256_kyber512,2,3600
10,10,p384_kyber768,2,7760
10,10,p521_kyber1024,2,9560
1,100,P-256,2,232
1,100,P-384,2,536
1,100,P-521,2,662
1,100,X448,2,256
1,100,X25519,2,232
1,100,kyber512,2,296
1,100,kyber768,2,296
1,100,kyber1024,2,296
1,100,p256_kyber512,2,360
1,100,p384_kyber768,2,776
1,100,p521_kyber1024,2,956
1,1000,P-256,2,232
1,1000,P-384,2,536
1,1000,P-521,2,662
1,1000,X448,2,256
1,1000,X25519,2,232
1,1000,kyber512,2,296
1,1000,kyber768,2,296
1,1000,kyber1024,2,296
1,1000,p256_kyber512,2,360
1,1000,p384_kyber768,2,776
1,1000,p521_kyber1024,2,956
10,100,P-256,2,2320
10,100,P-384,2,5360
10,100,P-521,2,6620
10,100,X448,2,2560
10,100,X25519,2,2320
10,100,kyber512,2,2960
10,100,kyber768,2,2896
10,100,kyber1024,2,2960
10,100,p256_kyber512,2,3600
10,100,p384_kyber768,2,7760
10,100,p521_kyber1024,2,9560
10,1000,P-256,2,2320
10,1000,P-384,2,5360
10,1000,P-521,2,6620
10,1000,X448,2,2560
10,1000,X25519,2,2288
10,1000,kyber512,2,2960
10,1000,kyber768,2,2960
10,1000,kyber1024,2,2960
10,1000,p256_kyber512,2,3600
10,1000,p384_kyber768,2,7760
10,1000,p521_kyber1024,2,9560
100,100,P-256,2,22848
100,100,P-384,2,53600
100,100,P-521,2,66200
100,100,X448,2,25568
100,100,X25519,2,23120
100,100,kyber512,2,29308
100,100,kyber768,2,29568
100,100,kyber1024,2,29504
100,100,p256_kyber512,2,36000
100,100,p384_kyber768,2,77504
100,100,p521_kyber1024,2,95600
100,1000,P-256,2,23072
100,1000,P-384,2,53568
100,1000,P-521,2,66200
100,1000,X448,2,25600
100,1000,X25519,2,23104
100,1000,kyber512,2,29504
100,1000,kyber768,2,29280
100,1000,kyber1024,2,29552
100,1000,p256_kyber512,2,36000
100,1000,p384_kyber768,2,77376
100,1000,p521_kyber1024,2,95600
1000,1000,P-256,2,230880
1000,1000,P-384,2,535072
1000,1000,P-521,2,661738
1000,1000,X448,2,255888
1000,1000,X25519,2,230752
1000,1000,kyber512,2,292960
1000,1000,kyber768,2,293696
1000,1000,kyber1024,2,293952
1000,1000,p256_kyber512,2,359040
1000,1000,p384_kyber768,2,775488
1000,1000,p521_kyber1024,2,955740
1,1,P-256,1_1,232
1,1,P-384,1_1,536
1,1,P-521,1_1,662
1,1,X448,1_1,256
1,1,X25519,1_1,232
1,1,kyber512,1_1,296
1,1,kyber768,1_1,296
1,1,kyber1024,1_1,296
1,1,p256_kyber512,1_1,360
1,1,p384_kyber768,1_1,776
1,1,p521_kyber1024,1_1,956
1,10,P-256,1_1,232
1,10,P-384,1_1,536
1,10,P-521,1_1,662
1,10,X448,1_1,256
1,10,X25519,1_1,232
1,10,kyber512,1_1,296
1,10,kyber768,1_1,296
1,10,kyber1024,1_1,296
1,10,p256_kyber512,1_1,360
1,10,p384_kyber768,1_1,776
1,10,p521_kyber1024,1_1,956
1,100,P-256,1_1,232
1,100,P-384,1_1,536
1,100,P-521,1_1,662
1,100,X448,1_1,256
1,100,X25519,1_1,232
1,100,kyber512,1_1,296
1,100,kyber768,1_1,296
1,100,kyber1024,1_1,296
1,100,p256_kyber512,1_1,360
1,100,p384_kyber768,1_1,776
1,100,p521_kyber1024,1_1,956
1,1000,P-256,1_1,232
1,1000,P-384,1_1,536
1,1000,P-521,1_1,662
1,1000,X448,1_1,256
1,1000,X25519,1_1,232
1,1000,kyber512,1_1,296
1,1000,kyber768,1_1,296
1,1000,kyber1024,1_1,296
1,1000,p256_kyber512,1_1,360
1,1000,p384_kyber768,1_1,776
1,1000,p521_kyber1024,1_1,956
10,10,P-256,1_1,2320
10,10,P-384,1_1,5360
10,10,P-521,1_1,6554
10,10,X448,1_1,2560
10,10,X25519,1_1,2320
10,10,kyber512,1_1,2960
10,10,kyber768,1_1,2960
10,10,kyber1024,1_1,2960
10,10,p256_kyber512,1_1,3600
10,10,p384_kyber768,1_1,7760
10,10,p521_kyber1024,1_1,9494
10,100,P-256,1_1,2320
10,100,P-384,1_1,5360
10,100,P-521,1_1,6620
10,100,X448,1_1,2560
10,100,X25519,1_1,2320
10,100,kyber512,1_1,2960
10,100,kyber768,1_1,2960
10,100,kyber1024,1_1,2960
10,100,p256_kyber512,1_1,3600
10,100,p384_kyber768,1_1,7760
10,100,p521_kyber1024,1_1,9560
10,1000,P-256,1_1,2320
10,1000,P-384,1_1,5360
10,1000,P-521,1_1,6620
10,1000,X448,1_1,2560
10,1000,X25519,1_1,2320
10,1000,kyber512,1_1,2960
10,1000,kyber768,1_1,2960
10,1000,kyber1024,1_1,2960
10,1000,p256_kyber512,1_1,3600
10,1000,p384_kyber768,1_1,7760
10,1000,p521_kyber1024,1_1,9560
100,100,P-256,1_1,22592
100,100,P-384,1_1,53568
100,100,P-521,1_1,66200
100,100,X448,1_1,25480
100,100,X25519,1_1,23200
100,100,kyber512,1_1,29568
100,100,kyber768,1_1,29440
100,100,kyber1024,1_1,29120
100,100,p256_kyber512,1_1,36000
100,100,p384_kyber768,1_1,77600
100,100,p521_kyber1024,1_1,95600
100,1000,P-256,1_1,23104
100,1000,P-384,1_1,53600
100,1000,P-521,1_1,66200
100,1000,X448,1_1,25568
100,1000,X25519,1_1,23168
100,1000,kyber512,1_1,29536
100,1000,kyber768,1_1,29568
100,1000,kyber1024,1_1,29472
100,1000,p256_kyber512,1_1,35808
100,1000,p384_kyber768,1_1,77232
100,1000,p521_kyber1024,1_1,95600
1000,1000,P-256,1_1,228960
1000,1000,P-384,1_1,535632
1000,1000,P-521,1_1,661310
1000,1000,X448,1_1,255848
1000,1000,X25519,1_1,230720
1000,1000,kyber512,1_1,294016
1000,1000,kyber768,1_1,293664
1000,1000,kyber1024,1_1,293632
1000,1000,p256_kyber512,1_1,359872
1000,1000,p384_kyber768,1_1,773808
1000,1000,p521_kyber1024,1_1,955314
