step,rate
1,407.4697265625
2,380.734375
3,386.5263671875
4,390.587890625
5,407.685546875
6,404.9130859375
7,411.45703125
8,405.7724609375
9,409.0517578125
10,404.1953125
11,410.3955078125
12,406.0166015625
13,401.6005859375
14,408.2294921875
15,405.7109375
16,410.1748046875
17,408.4189453125
18,404.107421875
19,405.6982421875
20,411.580078125
21,403.9541015625
22,412.0361328125
23,400.814453125
24,409.1044921875
25,399.037109375
26,405.2333984375
27,408.8994140625
28,413.4423828125
29,406.66015625
30,408.15234375
31,407.3291015625
32,403.1845703125
33,403.4072265625
34,409.3798828125
35,411.587890625
36,408.212890625
37,406.5966796875
38,403.6875
39,409.375
40,406.4794921875
41,404.9072265625
42,413.8896484375
43,409.4423828125
44,413.0927734375
45,409.62109375
46,410.978515625
47,406.33203125
48,412.14453125
49,409.001953125
50,409.7548828125
51,403.1005859375
52,403.025390625
53,405.74609375
54,411.568359375
55,408.6787109375
56,413.76171875
57,411.5791015625
58,400.2431640625
59,406.677734375
60,399.4765625
61,405.619140625
62,405.0576171875
63,410.998046875
64,402.1123046875
65,411.2333984375
66,404.669921875
67,409.810546875
68,405.66796875
69,406.8466796875
70,407.5546875
71,408.4560546875
72,406.494140625
73,411.560546875
74,407.37109375
75,407.7607421875
76,408.58203125
77,408.7451171875
78,404.2958984375
79,403.953125
80,409.3134765625
81,407.5107421875
82,407.416015625
83,406.6201171875
84,405.48828125
85,411.080078125
86,404.18359375
87,411.7578125
88,406.4140625
89,413.978515625
90,406.8017578125
91,408.0888671875
92,404.0810546875
93,407.103515625
94,406.080078125
95,410.607421875
96,412.04296875
97,405.849609375
98,406.4462890625
99,407.1318359375
100,407.873046875
101,408.3955078125
102,409.36328125
103,408.3046875
104,406.884765625
105,410.7275390625
106,406.5166015625
107,411.32421875
108,411.232421875
109,407.2255859375
110,407.4208984375
111,408.3095703125
112,408.8857421875
113,410.546875
114,408.7734375
115,407.357421875
116,395.5146484375
117,409.8681640625
118,403.5
119,411.2177734375
120,409.9755859375
121,408.4453125
122,407.2705078125
123,405.921875
124,406.4677734375
125,407.6318359375
126,407.408203125
127,405.7626953125
128,404.0712890625
129,405.708984375
130,405.5498046875
131,405.7900390625
132,410.10546875
133,407.2978515625
134,411.517578125
135,402.916015625
136,407.654296875
137,407.9736328125
138,405.3291015625
139,407.7412109375
140,405.0546875
141,405.9375
142,404.9521484375
143,406.873046875
144,402.4580078125
145,407.150390625
146,401.982421875
147,409
148,401.873046875
149,411.796875
150,397.8447265625
151,406.314453125
152,401.4404296875
153,407.3876953125
154,399.041015625
155,417.61328125
156,403.5546875
157,410.525390625
158,400.541015625
159,414.755859375
160,410.2529296875
161,407.8056640625
162,402.5
163,414.0830078125
164,401.6416015625
165,410.5888671875
166,401.9921875
167,404.8994140625
168,404.8486328125
169,411.302734375
170,409.6455078125
171,409.5537109375
172,397.701171875
173,410.5166015625
174,405.6669921875
175,410.6171875
176,401.8876953125
177,412.8974609375
178,408.08203125
179,404.609375
180,412.2197265625
181,409.6708984375
182,404.541015625
183,409.875
184,403.1240234375
185,409.7939453125
186,405.966796875
187,408.3740234375
188,408.0771484375
189,419.587890625
190,405.8359375
191,406.033203125
192,407.94140625
193,405.0380859375
194,409.849609375
195,406.541015625
196,408.7890625
197,404.7861328125
198,414.3857421875
199,410.8642578125
200,407.8125
201,407.255859375
202,410.2431640625
203,408.376953125
204,406.47265625
205,405.642578125
206,407.6650390625
207,410.2724609375
208,406.7861328125
209,404.91015625
210,406.1513671875
211,409.720703125
212,407.583984375
213,407.38671875
214,409.7548828125
215,405.59765625
216,413.2041015625
217,405.13671875
218,410.779296875
219,405.681640625
220,409.44921875
221,408.5625
222,411.134765625
223,401.494140625
224,405.697265625
225,409.4365234375
226,409.638671875
227,407.21484375
228,405.251953125
229,404.734375
230,402.8515625
231,413.4052734375
232,406.234375
233,408.814453125
234,407.2041015625
235,409.283203125
236,404.8115234375
237,409.0791015625
238,396.6025390625
239,411.9892578125
240,406.140625
241,408.28125
242,411.54296875
243,408.4658203125
244,405.2724609375
245,409.1591796875
246,401.6591796875
247,408.41015625
248,402.8544921875
249,406.958984375
250,410.2509765625
251,404.64453125
252,403.9716796875
253,404.857421875
254,408.478515625
255,406.1259765625
256,408.953125
257,399.10546875
258,408.4091796875
259,406.3271484375
260,406.302734375
261,404.498046875
262,408.0830078125
263,409.21484375
264,404.9453125
265,403.505859375
266,405.6591796875
267,404.48828125
268,404.240234375
269,408.490234375
270,403.9853515625
271,408.740234375
272,407.14453125
273,406.123046875
274,408.19921875
275,406.9765625
276,404.7734375
277,407.2421875
278,390.5703125
279,410.4091796875
280,404.8720703125
281,411.42578125
282,402.123046875
283,412.6748046875
284,404.1044921875
285,411.52734375
286,407.7734375
287,409.201171875
288,407.4052734375
289,407.349609375
290,405.4833984375
291,408.8671875
292,408.9970703125
293,404.06640625
294,408.2998046875
295,410.2529296875
296,410.158203125
297,408.0908203125
298,407.169921875
299,409.630859375
300,406.876953125
